"Release","File","# Authors in Release","LOC","Avg Churn in Release","Avg Churn from Start","Avg LOC Added in Release","Avg LOC Added from Start","# Revision in Release","# Revision from Start","# Bug Fix in Release","# Bug Fix from Start","Buggy"
"15","AckRequestProcessor.java","0","49","0","6","0","7","0","23","0","6","NO"
"15","AndOp.java","0","30","0","30","0","30","0","2","0","2","NO"
"15","Arg.java","0","33","0","33","0","33","0","2","0","2","NO"
"15","AsyncCallback.java","0","52","0","4","0","16","0","33","0","12","NO"
"15","AuthenticationProvider.java","0","74","0","11","0","12","0","19","0","2","NO"
"15","AuthFastLeaderElection.java","0","875","0","29","0","122","0","60","0","32","YES"
"15","BasicDataEncryptionManager.java","0","45","0","45","0","45","0","2","0","2","YES"
"15","BinaryInputArchive.java","0","118","0","15","0","15","0","23","0","6","YES"
"15","BinaryOutputArchive.java","0","132","0","14","0","16","0","25","0","6","NO"
"15","ByteBufferInputStream.java","0","74","0","11","0","11","0","19","0","4","YES"
"15","ByteBufferOutputStream.java","0","46","0","23","0","23","0","4","0","6","NO"
"15","CGenerator.java","0","117","0","11","0","13","0","26","0","4","YES"
"15","ClientCnxn.java","1","1171","-6","21","9","57","2","145","4","134","YES"
"15","ClientCnxnSocket.java","0","153","0","30","0","32","0","10","0","8","YES"
"15","ClientCnxnSocketNIO.java","0","306","0","30","0","36","0","20","0","28","YES"
"15","ClientWatchManager.java","0","36","0","9","0","10","0","8","0","8","NO"
"15","CommitProcessor.java","0","167","0","8","0","21","0","58","0","28","YES"
"15","CommonNames.java","0","27","0","3","0","4","0","16","0","2","NO"
"15","ConnectionBean.java","0","156","0","9","0","12","0","34","0","26","YES"
"15","ConnectionMXBean.java","0","89","0","9","0","10","0","18","0","4","NO"
"15","ConnectStringParser.java","0","79","0","79","0","79","0","2","0","2","NO"
"15","CppGenerator.java","0","113","0","13","0","14","0","23","0","4","YES"
"15","CreateMode.java","0","81","0","41","0","42","0","4","0","2","YES"
"15","Credentials.java","0","43","0","43","0","43","0","2","0","2","NO"
"15","CSharpGenerator.java","0","48","0","48","0","48","0","2","0","2","NO"
"15","CsvInputArchive.java","0","184","0","24","0","25","0","23","0","8","NO"
"15","CsvOutputArchive.java","0","135","0","16","0","17","0","25","0","8","NO"
"15","DatadirCleanupManager.java","0","173","0","86","0","91","0","4","0","6","YES"
"15","DataEncryptionManager.java","0","36","0","36","0","36","0","2","0","2","NO"
"15","DataNode.java","0","157","0","7","0","12","0","51","0","30","YES"
"15","DataTree.java","1","1180","0","22","3","33","2","126","2","90","YES"
"15","DataTreeBean.java","0","55","0","5","0","10","0","22","0","6","NO"
"15","DataTreeMXBean.java","0","43","0","5","0","7","0","16","0","2","NO"
"15","DigestAuthenticationProvider.java","0","126","0","10","0","26","0","33","0","12","NO"
"15","DigestLoginModule.java","0","54","0","55","0","55","0","2","0","0","NO"
"15","DistributedQueue.java","0","282","0","141","0","142","0","4","0","4","NO"
"15","Election.java","0","25","0","2","0","3","0","24","0","8","NO"
"15","Endpoint.java","0","65","0","65","0","65","0","2","0","2","NO"
"15","Environment.java","0","90","0","22","0","23","0","8","0","10","NO"
"15","EqualsOp.java","0","40","0","40","0","40","0","2","0","2","NO"
"15","FastLeaderElection.java","1","804","3","17","30","48","2","90","0","90","YES"
"15","FatJarMain.java","0","114","0","114","0","114","0","2","0","0","NO"
"15","FileLoader.java","0","54","0","27","0","27","0","4","0","4","NO"
"15","FileSnap.java","0","225","0","20","0","25","0","22","0","36","YES"
"15","FileTxnLog.java","1","595","1","23","6","35","2","50","0","76","YES"
"15","FileTxnSnapLog.java","1","293","0","11","7","17","2","50","0","58","YES"
"15","FilterException.java","0","20","0","20","0","20","0","2","0","2","NO"
"15","FilterOp.java","0","68","0","34","0","34","0","4","0","4","NO"
"15","FilterParser.java","0","118","0","59","0","59","0","4","0","4","NO"
"15","FinalRequestProcessor.java","1","372","-8","10","5","23","2","96","4","66","YES"
"15","Follower.java","0","151","0","6","0","49","0","88","0","62","YES"
"15","FollowerBean.java","0","45","0","2","0","6","0","16","0","2","NO"
"15","FollowerMXBean.java","0","37","0","1","0","5","0","16","0","2","NO"
"15","FollowerRequestProcessor.java","0","102","0","5","0","6","0","52","0","26","YES"
