"Release","File","# Authors in Release","LOC","Avg Churn in Release","Avg Churn from Start","Avg LOC Added in Release","Avg LOC Added from Start","# Revision in Release","# Revision from Start","# Bug Fix in Release","# Bug Fix from Start","Buggy"
"1","ObservableNIOServerCnxn.java","2","77","11","11","12","12","14","14","0","0","0"
"1","ObservableQuorumPeer.java","3","104","9","9","13","13","22","22","6","6","0"
"1","ObservableZooKeeperServer.java","3","51","5","5","7","7","20","20","4","4","0"
"1","ObserverManager.java","2","86","12","12","13","13","14","14","0","0","0"
"1","OutputArchive.java","3","44","7","7","7","7","19","19","0","0","0"
"1","ParseException.java","2","189","33","33","33","33","17","17","0","0","0"
"1","PrepRequestProcessor.java","6","414","22","22","54","54","54","54","12","12","1"
"1","Profiler.java","3","36","3","3","10","10","22","22","0","0","0"
"1","ProposalRequestProcessor.java","5","69","6","6","10","10","30","30","4","4","0"
"1","ProviderRegistry.java","4","71","6","6","17","17","24","24","2","2","0"
"1","PurgeTxnLog.java","3","85","9","9","29","29","25","25","2","2","1"
"1","QuorumBean.java","2","40","5","5","6","6","14","14","0","0","0"
"1","QuorumCnxManager.java","5","508","33","33","89","89","30","30","4","4","1"
"1","QuorumMXBean.java","2","30","4","4","5","5","14","14","0","0","0"
"1","QuorumPeer.java","6","531","25","25","104","104","59","59","14","14","1"
"1","QuorumPeerConfig.java","4","207","12","12","46","46","34","34","4","4","1"
"1","QuorumPeerMain.java","2","99","33","33","35","35","6","6","6","6","1"
"1","QuorumPeerObserver.java","2","63","9","9","10","10","14","14","0","0","0"
"1","QuorumStats.java","3","73","7","7","10","10","20","20","0","0","1"
"1","Rcc.java","2","473","74","74","76","76","19","19","0","0","0"
"1","RccConstants.java","2","80","14","14","14","14","17","17","0","0","0"
"1","RccTokenManager.java","2","750","132","132","132","132","17","17","0","0","0"
"1","Record.java","2","30","5","5","5","5","17","17","0","0","0"
"1","RecordReader.java","2","89","15","15","15","15","17","17","0","0","0"
"1","RecordWriter.java","2","106","18","18","18","18","17","17","0","0","0"
"1","RemotePeerBean.java","2","41","5","5","7","7","14","14","0","0","0"
"1","RemotePeerMXBean.java","2","30","4","4","5","5","14","14","0","0","0"
"1","Request.java","6","178","14","14","16","16","34","34","6","6","1"
"1","RequestProcessor.java","2","34","5","5","6","6","17","17","0","0","0"
"1","SendAckRequestProcessor.java","3","49","5","5","7","7","26","26","0","0","0"
"1","SerializeUtils.java","1","95","95","95","95","95","2","2","2","2","0"
"1","ServerAdminClient.java","4","281","29","29","67","67","27","27","0","0","0"
"1","ServerBean.java","2","35","5","5","6","6","14","14","0","0","0"
"1","ServerCnxn.java","3","71","9","9","10","10","23","23","0","0","1"
"1","ServerConfig.java","3","63","5","5","13","13","22","22","0","0","1"
"1","ServerMXBean.java","2","30","4","4","5","5","14","14","0","0","0"
"1","ServerObserver.java","2","35","5","5","6","6","14","14","0","0","0"
"1","ServerStats.java","3","126","14","14","15","15","18","18","0","0","1"
"1","SessionTracker.java","2","53","8","8","9","9","19","19","0","0","1"
"1","SessionTrackerImpl.java","5","198","15","15","18","18","37","37","2","2","1"
"1","SimpleCharStream.java","2","412","72","72","72","72","17","17","0","0","0"
"1","SnapShot.java","2","54","27","27","28","28","4","4","4","4","1"
"1","SyncRequestProcessor.java","5","119","13","13","50","50","35","35","6","6","1"
"1","Token.java","2","90","15","15","16","16","17","17","0","0","0"
"1","TokenMgrError.java","2","136","24","24","24","24","17","17","0","0","0"
"1","TraceFormatter.java","3","108","16","16","18","18","19","19","2","2","0"
"1","TxnLog.java","1","103","104","104","104","104","2","2","2","2","1"
"1","UpgradeMain.java","1","163","163","163","163","163","2","2","0","0","0"
"1","UpgradeSnapShot.java","1","30","30","30","30","30","2","2","0","0","0"
"1","UpgradeSnapShotV1.java","1","291","291","291","291","291","2","2","0","0","0"
"1","Util.java","3","275","91","91","101","101","6","6","8","8","1"
"1","Utils.java","3","251","39","39","39","39","19","19","2","2","1"
"1","VerGen.java","3","108","9","9","19","19","24","24","0","0","1"
"1","Version.java","2","71","5","5","10","10","26","26","0","0","0"
"1","Vote.java","4","63","5","5","8","8","22","22","6","6","0"
"1","WatchedEvent.java","1","73","36","36","37","37","4","4","0","0","1"
"1","Watcher.java","2","97","10","10","14","14","23","23","4","4","0"
"1","WatchManager.java","3","102","9","9","11","11","29","29","0","0","0"
"1","XmlInputArchive.java","2","226","39","39","40","40","17","17","0","0","0"
"1","XmlOutputArchive.java","3","227","35","35","36","36","19","19","0","0","0"
"1","ZKMBeanInfo.java","2","33","4","4","5","5","14","14","0","0","0"
"1","ZooDefs.java","3","101","11","11","12","12","26","26","2","2","1"
"1","ZooKeeper.java","6","927","36","36","94","94","73","73","24","24","1"
"1","ZooKeeperMain.java","2","209","35","35","37","37","12","12","8","8","1"
"1","ZooKeeperObserverManager.java","2","55","8","8","9","9","14","14","0","0","0"
"1","ZooKeeperObserverNotifier.java","2","69","9","9","11","11","14","14","0","0","0"
"1","ZooKeeperServer.java","6","549","28","28","159","159","62","62","12","12","1"
"1","ZooKeeperServerBean.java","3","106","13","13","14","14","16","16","2","2","1"
"1","ZooKeeperServerMain.java","2","72","36","36","38","38","4","4","4","4","1"
"1","ZooKeeperServerMXBean.java","2","67","9","9","10","10","14","14","0","0","0"
"1","ZooTrace.java","3","83","8","8","17","17","20","20","2","2","0"
"2","AckRequestProcessor.java","0","41","0","7","0","8","0","17","0","0","0"
"2","AsyncCallback.java","0","47","0","7","0","8","0","19","0","0","1"
"2","AuthenticationProvider.java","0","73","0","12","0","13","0","17","0","0","0"
"2","AuthFastLeaderElection.java","0","809","0","44","0","185","0","36","0","4","1"
"2","BinaryInputArchive.java","0","119","0","18","0","18","0","19","0","0","0"
"2","BinaryOutputArchive.java","0","135","0","17","0","18","0","21","0","0","0"
"2","ByteBufferInputStream.java","0","65","0","11","0","12","0","17","0","0","0"
"2","CGenerator.java","0","80","0","10","0","11","0","22","0","0","0"
"2","ClientCnxn.java","1","941","13","39","89","94","2","67","6","24","1"
"2","ClientWatchManager.java","0","36","0","11","0","13","0","6","0","4","0"
"2","CommitProcessor.java","0","171","0","13","0","33","0","36","0","4","1"
"2","CommonNames.java","0","27","0","3","0","4","0","14","0","0","0"
"2","ConnectionBean.java","0","101","0","11","0","12","0","18","0","2","1"
"2","ConnectionMXBean.java","0","62","0","8","0","9","0","14","0","0","1"
"2","ConnectionObserver.java","0","35","0","5","0","6","0","14","0","0","0"
"2","CppGenerator.java","0","75","0","11","0","12","0","19","0","0","0"
"2","CreateMode.java","0","81","0","81","0","81","0","2","0","0","0"
"2","CsvInputArchive.java","0","189","0","33","0","33","0","17","0","0","0"
"2","CsvOutputArchive.java","0","136","0","19","0","19","0","21","0","2","0"
"2","DataNode.java","1","113","0","9","1","11","2","33","4","10","0"
"2","DataNodeV1.java","0","117","0","117","0","117","0","2","0","0","0"
"2","DataTree.java","0","719","0","31","0","36","0","60","0","12","0"
"2","DataTreeBean.java","0","80","0","8","0","10","0","18","0","2","0"
"2","DataTreeMXBean.java","0","42","0","6","0","6","0","14","0","0","0"
"2","DataTreeObserver.java","0","48","0","6","0","8","0","14","0","0","0"
"2","DataTreeV1.java","0","524","0","524","0","524","0","2","0","0","0"
"2","DigestAuthenticationProvider.java","0","115","0","14","0","35","0","23","0","0","0"
"2","Election.java","0","24","0","2","0","3","0","20","0","2","1"
"2","Environment.java","1","90","90","90","90","90","2","2","2","2","0"
"2","EventInfo.java","0","27","0","4","0","4","0","14","0","0","0"
"2","FastLeaderElection.java","0","564","0","29","0","62","0","38","0","18","1"
"2","FileSnap.java","0","144","0","28","0","31","0","10","0","16","1"
"2","FileTxnLog.java","0","437","0","109","0","110","0","8","0","16","1"
"2","FileTxnSnapLog.java","0","222","0","55","0","57","0","8","0","6","1"
"2","FinalRequestProcessor.java","0","239","0","15","0","36","0","46","0","10","1"
"2","Follower.java","0","341","0","21","0","82","0","46","0","8","0"
"2","FollowerBean.java","0","26","0","3","0","4","0","14","0","0","0"
"2","FollowerHandler.java","0","356","0","22","0","57","0","45","0","6","0"
"2","FollowerMXBean.java","0","24","0","3","0","4","0","14","0","0","0"
"2","FollowerRequestProcessor.java","0","97","0","8","0","9","0","34","0","4","0"
"2","FollowerSessionTracker.java","0","77","0","10","0","12","0","21","0","0","0"
"2","FollowerSyncRequest.java","0","31","0","16","0","16","0","4","0","4","0"
"2","FollowerZooKeeperServer.java","0","160","0","9","0","13","0","47","0","8","1"
"2","HostAuthenticationProvider.java","0","61","0","9","0","10","0","19","0","0","0"
"2","Index.java","0","36","0","6","0","6","0","17","0","0","0"
"2","InputArchive.java","0","41","0","7","0","7","0","17","0","0","0"
"2","IPAuthenticationProvider.java","0","104","0","16","0","17","0","19","0","0","0"
"2","JavaGenerator.java","0","56","0","8","0","9","0","19","0","0","0"
"2","JBoolean.java","0","39","0","5","0","6","0","20","0","0","0"
"2","JBuffer.java","0","97","0","17","0","17","0","17","0","0","0"
"2","JByte.java","0","32","0","5","0","5","0","17","0","0","0"
"2","JCompType.java","0","50","0","8","0","8","0","17","0","0","0"
"2","JDouble.java","0","37","0","6","0","6","0","17","0","0","0"
"2","JField.java","0","90","0","15","0","16","0","17","0","0","0"
"2","JFile.java","0","68","0","10","0","11","0","19","0","0","0"
"2","JFloat.java","0","36","0","6","0","6","0","17","0","0","0"
"2","JInt.java","0","32","0","5","0","5","0","17","0","0","0"
"2","JLong.java","0","36","0","6","0","6","0","17","0","0","0"
"2","JMap.java","0","91","0","16","0","16","0","17","0","0","0"
"2","JRecord.java","0","458","0","54","0","56","0","25","0","0","0"
"2","JString.java","0","43","0","7","0","7","0","17","0","0","0"
"2","JType.java","0","128","0","22","0","22","0","17","0","0","0"
"2","JVector.java","0","96","0","15","0","15","0","19","0","0","0"
"2","KeeperException.java","0","303","0","31","0","36","0","23","0","0","1"
"2","Leader.java","0","570","0","39","0","47","0","42","0","10","0"
"2","LeaderBean.java","0","27","0","3","0","4","0","14","0","0","0"
"2","LeaderElection.java","0","175","0","15","0","37","0","35","0","6","1"
"2","LeaderElectionBean.java","0","39","0","5","0","6","0","14","0","0","0"
"2","LeaderElectionMXBean.java","0","31","0","4","0","5","0","14","0","0","0"
"2","LeaderMXBean.java","0","24","0","3","0","4","0","14","0","0","0"
"2","LeaderZooKeeperServer.java","0","80","0","7","0","9","0","32","0","4","1"
"2","LocalPeerBean.java","0","48","0","6","0","7","0","16","0","2","0"
"2","LocalPeerMXBean.java","0","31","0","4","0","5","0","14","0","0","0"
"2","LogFormatter.java","0","65","0","9","0","10","0","21","0","2","1"
"2","ManagedQuorumPeer.java","0","203","0","18","0","26","0","22","0","6","0"
"2","ManagedQuorumPeerMain.java","1","124","5","24","6","30","2","10","4","10","0"
"2","ManagedZooKeeperServer.java","0","113","0","11","0","16","0","20","0","4","0"
"2","ManagedZooKeeperServerMain.java","1","78","7","19","8","21","2","8","4","8","0"
"2","MBeanRegistry.java","0","158","0","19","0","20","0","16","0","0","1"
"2","NIOServerCnxn.java","1","800","14","49","17","123","2","47","2","10","1"
"2","ObservableComponent.java","0","31","0","4","0","5","0","14","0","0","0"
"2","ObservableDataTree.java","0","104","0","13","0","14","0","16","0","2","0"
"2","ObservableFollower.java","0","71","0","10","0","11","0","14","0","0","0"
"2","ObservableFollowerZooKeeperServer.java","0","50","0","6","0","7","0","16","0","2","0"
"2","ObservableLeader.java","0","74","0","10","0","11","0","14","0","0","0"
"2","ObservableLeaderZooKeeperServer.java","0","50","0","6","0","7","0","16","0","2","0"
"2","ObservableNIOServerCnxn.java","0","77","0","11","0","12","0","14","0","0","0"
"2","ObservableQuorumPeer.java","0","104","0","9","0","13","0","22","0","6","0"
"2","ObservableZooKeeperServer.java","0","51","0","5","0","7","0","20","0","4","0"
"2","ObserverManager.java","0","86","0","12","0","13","0","14","0","0","0"
"2","OutputArchive.java","0","44","0","7","0","7","0","19","0","0","0"
"2","ParseException.java","0","189","0","33","0","33","0","17","0","0","0"
"2","PrepRequestProcessor.java","0","414","0","22","0","54","0","54","0","12","1"
"2","Profiler.java","0","36","0","3","0","10","0","22","0","0","0"
"2","ProposalRequestProcessor.java","0","69","0","6","0","10","0","30","0","4","0"
"2","ProviderRegistry.java","0","71","0","6","0","17","0","24","0","2","0"
"2","PurgeTxnLog.java","0","85","0","9","0","29","0","25","0","2","1"
"2","QuorumBean.java","0","40","0","5","0","6","0","14","0","0","0"
"2","QuorumCnxManager.java","0","508","0","33","0","89","0","30","0","4","1"
"2","QuorumMXBean.java","0","30","0","4","0","5","0","14","0","0","0"
"2","QuorumPeer.java","0","531","0","25","0","104","0","59","0","14","1"
"2","QuorumPeerConfig.java","1","200","-8","11","108","50","2","36","4","8","1"
"2","QuorumPeerMain.java","1","104","5","26","6","28","2","8","4","10","1"
"2","QuorumPeerObserver.java","0","63","0","9","0","10","0","14","0","0","0"
"2","QuorumStats.java","0","73","0","7","0","10","0","20","0","0","1"
"2","Rcc.java","0","473","0","74","0","76","0","19","0","0","0"
"2","RccConstants.java","0","80","0","14","0","14","0","17","0","0","0"
"2","RccTokenManager.java","0","750","0","132","0","132","0","17","0","0","0"
"2","Record.java","0","30","0","5","0","5","0","17","0","0","0"
"2","RecordReader.java","0","89","0","15","0","15","0","17","0","0","0"
"2","RecordWriter.java","0","106","0","18","0","18","0","17","0","0","0"
"2","RemotePeerBean.java","0","41","0","5","0","7","0","14","0","0","0"
"2","RemotePeerMXBean.java","0","30","0","4","0","5","0","14","0","0","0"
"2","Request.java","0","178","0","14","0","16","0","34","0","6","1"
"2","RequestProcessor.java","0","34","0","5","0","6","0","17","0","0","0"
"2","SendAckRequestProcessor.java","0","49","0","5","0","7","0","26","0","0","0"
"2","SerializeUtils.java","0","95","0","95","0","95","0","2","0","2","0"
"2","ServerAdminClient.java","0","281","0","29","0","67","0","27","0","0","0"
"2","ServerBean.java","0","35","0","5","0","6","0","14","0","0","0"
"2","ServerCnxn.java","1","72","2","8","2","9","2","25","2","2","1"
"2","ServerConfig.java","1","61","-2","5","3","12","2","24","4","4","1"
"2","ServerMXBean.java","0","30","0","4","0","5","0","14","0","0","0"
"2","ServerObserver.java","0","35","0","5","0","6","0","14","0","0","0"
"2","ServerStats.java","0","126","0","14","0","15","0","18","0","0","1"
"2","SessionTracker.java","0","53","0","8","0","9","0","19","0","0","1"
"2","SessionTrackerImpl.java","0","198","0","15","0","18","0","37","0","2","1"
"2","SimpleCharStream.java","0","412","0","72","0","72","0","17","0","0","0"
"2","SnapShot.java","0","54","0","27","0","28","0","4","0","4","1"
"2","SyncRequestProcessor.java","1","130","11","12","16","49","2","37","6","12","1"
"2","Token.java","0","90","0","15","0","16","0","17","0","0","0"
"2","TokenMgrError.java","0","136","0","24","0","24","0","17","0","0","0"
"2","TraceFormatter.java","0","108","0","16","0","18","0","19","0","2","0"
"2","TxnLog.java","0","103","0","104","0","104","0","2","0","2","1"
"2","UpgradeMain.java","0","163","0","163","0","163","0","2","0","0","0"
"2","UpgradeSnapShot.java","0","30","0","30","0","30","0","2","0","0","0"
"2","UpgradeSnapShotV1.java","0","291","0","291","0","291","0","2","0","0","0"
"2","Util.java","0","275","0","91","0","101","0","6","0","8","1"
"2","Utils.java","0","251","0","39","0","39","0","19","0","2","1"
"2","VerGen.java","0","108","0","9","0","19","0","24","0","0","1"
"2","Version.java","0","71","0","5","0","10","0","26","0","0","0"
"2","Vote.java","0","63","0","5","0","8","0","22","0","6","0"
"2","WatchedEvent.java","0","73","0","36","0","37","0","4","0","0","1"
"2","Watcher.java","0","97","0","10","0","14","0","23","0","4","0"
"2","WatchManager.java","0","102","0","9","0","11","0","29","0","0","0"
"2","XmlInputArchive.java","0","226","0","39","0","40","0","17","0","0","0"
"2","XmlOutputArchive.java","0","227","0","35","0","36","0","19","0","0","0"
"2","ZKMBeanInfo.java","0","33","0","4","0","5","0","14","0","0","0"
"2","ZooDefs.java","0","101","0","11","0","12","0","26","0","2","1"
"2","ZooKeeper.java","1","936","5","34","6","89","4","77","8","32","1"
"2","ZooKeeperMain.java","0","209","0","35","0","37","0","12","0","8","1"
"2","ZooKeeperObserverManager.java","0","55","0","8","0","9","0","14","0","0","0"
"2","ZooKeeperObserverNotifier.java","0","69","0","9","0","11","0","14","0","0","0"
"2","ZooKeeperServer.java","1","555","6","27","8","155","2","64","2","14","1"
"2","ZooKeeperServerBean.java","0","106","0","13","0","14","0","16","0","2","1"
"2","ZooKeeperServerMain.java","1","78","6","26","8","28","2","6","4","8","1"
"2","ZooKeeperServerMXBean.java","0","67","0","9","0","10","0","14","0","0","0"
"2","ZooTrace.java","0","83","0","8","0","17","0","20","0","2","0"
"3","AckRequestProcessor.java","0","41","0","7","0","8","0","17","0","0","0"
"3","AddCallback.java","1","34","34","34","34","34","2","2","2","2","0"
"3","AsyncCallback.java","0","47","0","7","0","8","0","19","0","0","1"
"3","AuthenticationProvider.java","1","74","1","11","2","12","2","19","2","2","0"
"3","AuthFastLeaderElection.java","1","803","-6","42","9","175","2","38","2","6","1"
"3","BinaryInputArchive.java","0","119","0","18","0","18","0","19","0","0","0"
