@relation dataset13
@attribute Release numeric
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
1,0,53,0,0,0,0,0,0,0,0,1
1,0,198,0,0,0,0,0,0,0,0,1
1,0,412,0,0,0,0,0,0,0,0,0
1,0,54,0,0,0,0,0,0,0,0,1
1,1,130,130,130,130,130,1,1,3,3,1
1,0,90,0,0,0,0,0,0,0,0,0
1,0,136,0,0,0,0,0,0,0,0,0
1,0,108,0,0,0,0,0,0,0,0,1
1,0,103,0,0,0,0,0,0,0,0,1
1,0,163,0,0,0,0,0,0,0,0,0
1,0,30,0,0,0,0,0,0,0,0,0
1,0,291,0,0,0,0,0,0,0,0,1
1,0,275,0,0,0,0,0,0,0,0,1
1,0,251,0,0,0,0,0,0,0,0,1
1,0,108,0,0,0,0,0,0,0,0,1
1,0,71,0,0,0,0,0,0,0,0,1
1,0,63,0,0,0,0,0,0,0,0,1
1,0,73,0,0,0,0,0,0,0,0,1
1,0,97,0,0,0,0,0,0,0,0,1
1,0,102,0,0,0,0,0,0,0,0,1
1,0,226,0,0,0,0,0,0,0,0,0
1,0,227,0,0,0,0,0,0,0,0,0
1,0,33,0,0,0,0,0,0,0,0,1
1,0,101,0,0,0,0,0,0,0,0,1
1,1,936,5,5,6,6,2,2,4,4,1
1,0,209,0,0,0,0,0,0,0,0,1
1,0,55,0,0,0,0,0,0,0,0,0
1,0,69,0,0,0,0,0,0,0,0,0
1,1,555,555,555,555,555,1,1,1,1,0
1,0,106,0,0,0,0,0,0,0,0,1
1,1,78,78,78,78,78,1,1,2,2,1
1,0,67,0,0,0,0,0,0,0,0,1
1,0,83,0,0,0,0,0,0,0,0,1
2,0,41,0,0,0,0,0,0,0,0,0
2,1,34,34,34,34,34,1,1,1,1,1
2,0,47,0,0,0,0,0,0,0,0,1
2,1,74,74,74,74,74,1,1,1,1,1
2,1,803,803,803,803,803,1,1,1,1,1
2,0,119,0,0,0,0,0,0,0,0,0
2,0,135,0,0,0,0,0,0,0,0,0
2,1,117,117,117,117,117,1,1,1,1,1
2,1,309,309,309,309,309,1,1,1,1,0
2,1,308,308,308,308,308,1,1,1,1,1
2,1,225,225,225,225,225,1,1,1,1,0
2,1,63,63,63,63,63,1,1,1,1,1
2,1,162,162,162,162,162,1,1,1,1,0
2,1,631,631,631,631,631,1,1,1,1,1
2,0,65,0,0,0,0,0,0,0,0,0
2,0,80,0,0,0,0,0,0,0,0,0
2,2,309,152,152,154,154,2,2,2,2,1
2,1,101,101,101,101,101,1,1,1,1,1
2,3,963,4,5,7,20,5,6,8,11,1
2,0,36,0,0,0,0,0,0,0,0,1
2,1,168,-2,-2,1,1,2,2,3,3,0
2,1,27,27,27,27,27,1,1,1,1,1
2,2,109,3,3,10,10,2,2,3,3,0
2,1,62,62,62,62,62,1,1,1,1,1
2,0,75,0,0,0,0,0,0,0,0,0
2,0,81,0,0,0,0,0,0,0,0,0
2,0,189,0,0,0,0,0,0,0,0,0
2,0,136,0,0,0,0,0,0,0,0,1
2,2,118,2,1,13,9,2,3,2,4,1
2,0,117,0,0,0,0,0,0,0,0,0
2,3,963,49,49,56,56,5,5,6,6,1
2,1,63,63,63,63,63,1,1,1,1,1
2,1,43,43,43,43,43,1,1,1,1,1
2,2,525,0,0,7,7,2,2,2,2,1
2,1,116,116,116,116,116,1,1,1,1,0
