"PROJECT","#TRAIN_RELEASES","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","11","Best_First_Bidirectional","None","None","Naive Bayes","0.4778607145445324","0.8571428571428571","0.4666666666666667","0.7965439276485788","42.0","7.0","165.0","48.0"
"zookeeper","11","Best_First_Bidirectional","None","None","IBK","0.2660537279126561","0.6153846153846154","0.35555555555555557","0.7108850129198966","32.0","20.0","152.0","58.0"
"zookeeper","11","Best_First_Bidirectional","None","None","Random Forest","0.32596564968476","0.6938775510204082","0.37777777777777777","0.7518410852713179","34.0","15.0","157.0","56.0"
