"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","5","Over_Sampling","Naive Bayes","0.3052294557097119","0.8333333333333334","0.3488372093023256","0.7400090313840596","30.0","6.0","97.0","56.0"
"zookeeper","5","Over_Sampling","IBK","0.21873154600212602","0.7","0.32558139534883723","0.6455746218107925","28.0","12.0","91.0","58.0"
"zookeeper","5","Over_Sampling","Random Forest","0.19872215919269112","0.7586206896551724","0.2558139534883721","0.7083991871754346","22.0","7.0","96.0","64.0"
