"PROJECT","#TRAIN_RELEASES","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"bookkeeper","5","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Naive Bayes","0.003314001657000897","0.1111111111111111","0.024390243902439025","0.5010840108401085","1.0","8.0","352.0","40.0"
"bookkeeper","5","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","IBK","0.024999143864936135","0.125","0.12195121951219512","0.5123644986449865","5.0","35.0","325.0","36.0"
"bookkeeper","5","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Random Forest","0.16590946411954677","0.2222222222222222","0.34146341463414637","0.6026761517615176","14.0","49.0","311.0","27.0"
