"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"bookkeeper","3","Best_First_BidirectionalUnder_Sampling","IBK","0.04078810922917365","0.14432989690721648","0.3333333333333333","0.5595238095238095","14.0","83.0","225.0","28.0"
"bookkeeper","3","Best_First_BidirectionalUnder_Sampling","Random Forest","0.14937759336099588","0.2","0.6428571428571429","0.6999458874458875","27.0","108.0","200.0","15.0"
"bookkeeper","3","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.10283877878950193","0.20930232558139536","0.21428571428571427","0.7035791589363017","9.0","34.0","274.0","33.0"
"bookkeeper","3","Best_First_BidirectionalOver_Sampling","IBK","0.03882755995432036","0.14457831325301204","0.2857142857142857","0.599373840445269","12.0","71.0","237.0","30.0"
"bookkeeper","3","Best_First_BidirectionalOver_Sampling","Random Forest","0.17205938332698895","0.2289156626506024","0.4523809523809524","0.6944573283858998","19.0","64.0","244.0","23.0"
"bookkeeper","3","Best_First_BidirectionalSensitive_Classifier_Threshold_CFP_1_CFN_10","Naive Bayes","0.2465753424657534","0.3","0.42857142857142855","0.6461038961038961","18.0","42.0","266.0","24.0"
"bookkeeper","3","Best_First_BidirectionalSensitive_Classifier_Threshold_CFP_1_CFN_10","IBK","-0.01969057665260208","0.10526315789473684","0.14285714285714285","0.48863636363636365","6.0","51.0","257.0","36.0"
"bookkeeper","3","Best_First_BidirectionalSensitive_Classifier_Threshold_CFP_1_CFN_10","Random Forest","0.12197686645636183","0.1794871794871795","0.8333333333333334","0.6569264069264069","35.0","160.0","148.0","7.0"
"bookkeeper","3","Best_First_BidirectionalSensitive_Learning_CFP_1_CFN_10","Naive Bayes","0.2465753424657534","0.3","0.42857142857142855","0.7262291280148423","18.0","42.0","266.0","24.0"
"bookkeeper","3","Best_First_BidirectionalSensitive_Learning_CFP_1_CFN_10","IBK","-0.01969057665260208","0.10526315789473684","0.14285714285714285","0.5677179962894249","6.0","51.0","257.0","36.0"
"bookkeeper","3","Best_First_BidirectionalSensitive_Learning_CFP_1_CFN_10","Random Forest","0.12398921832884104","0.18571428571428572","0.6190476190476191","0.6750541125541125","26.0","114.0","194.0","16.0"
"bookkeeper","3","None","Naive Bayes","0.14852037967615853","0.2564102564102564","0.23809523809523808","0.7300556586270872","10.0","29.0","279.0","32.0"
"bookkeeper","3","None","IBK","0.00926402470406593","0.1276595744680851","0.14285714285714285","0.5698051948051948","6.0","41.0","267.0","36.0"
"bookkeeper","3","None","Random Forest","0.2140867489056903","0.2597402597402597","0.47619047619047616","0.7301716141001855","20.0","57.0","251.0","22.0"
"bookkeeper","4","Best_First_Bidirectional","Naive Bayes","0.16463561485477535","0.30434782608695654","0.18421052631578946","0.7810860232151375","7.0","16.0","315.0","31.0"
"bookkeeper","4","Best_First_Bidirectional","IBK","0.08258876544169026","0.175","0.18421052631578946","0.6657656225155033","7.0","33.0","298.0","31.0"
"bookkeeper","4","Best_First_Bidirectional","Random Forest","0.22482184783951906","0.3142857142857143","0.2894736842105263","0.7063921132135474","11.0","24.0","307.0","27.0"
"bookkeeper","4","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.28327247300132097","0.35","0.3684210526315789","0.7841866751470822","14.0","26.0","305.0","24.0"
"bookkeeper","4","Best_First_BidirectionalUnder_Sampling","IBK","0.1392926984426171","0.18556701030927836","0.47368421052631576","0.6450548576880267","18.0","79.0","252.0","20.0"
"bookkeeper","4","Best_First_BidirectionalUnder_Sampling","Random Forest","0.19426105273974337","0.2235294117647059","0.5","0.7142629988869454","19.0","66.0","265.0","19.0"
"bookkeeper","4","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.28327247300132097","0.35","0.3684210526315789","0.7842661790427731","14.0","26.0","305.0","24.0"
"bookkeeper","4","Best_First_BidirectionalOver_Sampling","IBK","0.16337856586917526","0.22641509433962265","0.3157894736842105","0.6907695977102878","12.0","41.0","290.0","26.0"
"bookkeeper","4","Best_First_BidirectionalOver_Sampling","Random Forest","0.18395657418576614","0.24074074074074073","0.34210526315789475","0.7000318015582764","13.0","41.0","290.0","25.0"
"bookkeeper","4","Best_First_BidirectionalSensitive_Classifier_Threshold_CFP_1_CFN_10","Naive Bayes","0.34308908352916057","0.375","0.47368421052631576","0.6915248847193513","18.0","30.0","301.0","20.0"
"bookkeeper","4","Best_First_BidirectionalSensitive_Classifier_Threshold_CFP_1_CFN_10","IBK","0.0787401574803153","0.17073170731707318","0.18421052631578946","0.5407457465415806","7.0","34.0","297.0","31.0"
"bookkeeper","4","Best_First_BidirectionalSensitive_Classifier_Threshold_CFP_1_CFN_10","Random Forest","0.167076167076167","0.1951219512195122","0.631578947368421","0.6662426458896485","24.0","99.0","232.0","14.0"
"bookkeeper","4","Best_First_BidirectionalSensitive_Learning_CFP_1_CFN_10","Naive Bayes","0.34308908352916057","0.375","0.47368421052631576","0.7810860232151375","18.0","30.0","301.0","20.0"
"bookkeeper","4","Best_First_BidirectionalSensitive_Learning_CFP_1_CFN_10","IBK","0.0787401574803153","0.17073170731707318","0.18421052631578946","0.6657656225155033","7.0","34.0","297.0","31.0"
"bookkeeper","4","Best_First_BidirectionalSensitive_Learning_CFP_1_CFN_10","Random Forest","0.2109376920240876","0.23076923076923078","0.5526315789473685","0.7307998091906504","21.0","70.0","261.0","17.0"
"bookkeeper","4","None","Naive Bayes","0.15355983553343405","0.25806451612903225","0.21052631578947367","0.7480521545555732","8.0","23.0","308.0","30.0"
"bookkeeper","4","None","IBK","0.16430569741107515","0.27586206896551724","0.21052631578947367","0.6793210367307998","8.0","21.0","310.0","30.0"
"bookkeeper","4","None","Random Forest","0.18756733967302197","0.32","0.21052631578947367","0.7380346636985212","8.0","17.0","314.0","30.0"
"bookkeeper","5","Best_First_Bidirectional","Naive Bayes","0.012209489129270954","0.14285714285714285","0.024390243902439025","0.7546409214092141","1.0","6.0","354.0","40.0"
"bookkeeper","5","Best_First_Bidirectional","IBK","0.05200945626477542","0.15625","0.12195121951219512","0.622120596205962","5.0","27.0","333.0","36.0"
"bookkeeper","5","Best_First_Bidirectional","Random Forest","0.11423161880719448","0.2777777777777778","0.12195121951219512","0.6269308943089431","5.0","13.0","347.0","36.0"
"bookkeeper","5","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.11312254259501903","0.24","0.14634146341463414","0.675169376693767","6.0","19.0","341.0","35.0"
"bookkeeper","5","Best_First_BidirectionalUnder_Sampling","IBK","0.13272989426465867","0.18095238095238095","0.4634146341463415","0.6269308943089431","19.0","86.0","274.0","22.0"
"bookkeeper","5","Best_First_BidirectionalUnder_Sampling","Random Forest","0.15921663097787275","0.20224719101123595","0.43902439024390244","0.6307588075880759","18.0","71.0","289.0","23.0"
"bookkeeper","5","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.003314001657000897","0.1111111111111111","0.024390243902439025","0.752879403794038","1.0","8.0","352.0","40.0"
"bookkeeper","5","Best_First_BidirectionalOver_Sampling","IBK","0.062475646187816467","0.15555555555555556","0.17073170731707318","0.6194444444444445","7.0","38.0","322.0","34.0"
"bookkeeper","5","Best_First_BidirectionalOver_Sampling","Random Forest","0.05937751636732803","0.15789473684210525","0.14634146341463414","0.6051151761517615","6.0","32.0","328.0","35.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Classifier_Threshold_CFP_1_CFN_10","Naive Bayes","0.039936834598339487","0.2","0.04878048780487805","0.5132791327913279","2.0","8.0","352.0","39.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Classifier_Threshold_CFP_1_CFN_10","IBK","-0.03163829437845575","0.07936507936507936","0.12195121951219512","0.480420054200542","5.0","58.0","302.0","36.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Classifier_Threshold_CFP_1_CFN_10","Random Forest","0.13867843474185748","0.1834862385321101","0.4878048780487805","0.6202913279132791","20.0","89.0","271.0","21.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Learning_CFP_1_CFN_10","Naive Bayes","0.039936834598339487","0.2","0.04878048780487805","0.7546409214092141","2.0","8.0","352.0","39.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Learning_CFP_1_CFN_10","IBK","-0.0276323119777162","0.08196721311475409","0.12195121951219512","0.622120596205962","5.0","56.0","304.0","36.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Learning_CFP_1_CFN_10","Random Forest","0.03259224219489114","0.12345679012345678","0.24390243902439024","0.6020325203252033","10.0","71.0","289.0","31.0"
"bookkeeper","5","None","Naive Bayes","0.12822370945053105","0.2727272727272727","0.14634146341463414","0.7319105691056911","6.0","16.0","344.0","35.0"
"bookkeeper","5","None","IBK","0.025661792915298916","0.13636363636363635","0.07317073170731707","0.6736449864498645","3.0","19.0","341.0","38.0"
"bookkeeper","5","None","Random Forest","0.016889131026968558","0.16666666666666666","0.024390243902439025","0.6763211382113821","1.0","5.0","355.0","40.0"
