"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","7","Sensitive_Classifier_Threshold_CFP_1_CFN_10","Naive Bayes","0.327306660445585","0.6103896103896104","0.5222222222222223","0.6590702947845805","47.0","30.0","117.0","43.0"
"zookeeper","7","Sensitive_Classifier_Threshold_CFP_1_CFN_10","IBK","0.17657878602084623","0.5454545454545454","0.3333333333333333","0.5816326530612245","30.0","25.0","122.0","60.0"
"zookeeper","7","Sensitive_Classifier_Threshold_CFP_1_CFN_10","Random Forest","0.31436837029893916","0.5384615384615384","0.7","0.6663265306122449","63.0","54.0","93.0","27.0"
