"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","14","Sensitive_Classifier_Threshold_CFP_1_CFN_10","Naive Bayes","0.3443088277036617","0.9117647058823529","0.3163265306122449","0.6491271207278092","31.0","3.0","163.0","67.0"
"zookeeper","14","Sensitive_Classifier_Threshold_CFP_1_CFN_10","IBK","0.1294964028776977","0.9166666666666666","0.11224489795918367","0.5531104007868207","11.0","1.0","165.0","87.0"
"zookeeper","14","Sensitive_Classifier_Threshold_CFP_1_CFN_10","Random Forest","0.2467239678737495","0.7297297297297297","0.2755102040816326","0.6076346201131054","27.0","10.0","156.0","71.0"
