"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","5","Best_First_Bidirectional+Sensitive_Learning_CFP_1_CFN_10","Naive Bayes","0.3578207381370827","0.7916666666666666","0.4418604651162791","0.7687401219236848","38.0","10.0","93.0","48.0"
"zookeeper","5","Best_First_Bidirectional+Sensitive_Learning_CFP_1_CFN_10","IBK","0.1849544801149977","0.7692307692307693","0.23255813953488372","0.6527432829081057","20.0","6.0","97.0","66.0"
"zookeeper","5","Best_First_Bidirectional+Sensitive_Learning_CFP_1_CFN_10","Random Forest","0.3225806451612902","0.7777777777777778","0.4069767441860465","0.751975615263039","35.0","10.0","93.0","51.0"
