"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","3","Best_First_Bidirectional+Sensitive_Learning_CFP_1_CFN_10","Naive Bayes","0.26640215388975474","0.9259259259259259","0.29411764705882354","0.7466284074605452","25.0","2.0","80.0","60.0"
"zookeeper","3","Best_First_Bidirectional+Sensitive_Learning_CFP_1_CFN_10","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.6936154949784792","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_Bidirectional+Sensitive_Learning_CFP_1_CFN_10","Random Forest","0.05742909552702129","0.8571428571428571","0.07058823529411765","0.8253228120516499","6.0","1.0","81.0","79.0"
