"PROJECT","#TRAIN_RELEASES","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","2","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Naive Bayes","0.3362668559261888","0.9142857142857143","0.3764705882352941","0.6699426111908178","32.0","3.0","79.0","53.0"
"zookeeper","2","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","IBK","0.12701328058773662","0.9230769230769231","0.1411764705882353","0.5644906743185079","12.0","1.0","81.0","73.0"
"zookeeper","2","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Random Forest","0.32311740027021263","0.8181818181818182","0.4235294117647059","0.6629842180774749","36.0","8.0","74.0","49.0"
