"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","9","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.36679825472678174","0.5645161290322581","0.4166666666666667","0.6779893345350758","35.0","27.0","290.0","49.0"
"zookeeper","9","Best_First_BidirectionalOver_Sampling","IBK","0.02440450370593925","0.2289156626506024","0.2261904761904762","0.4678158329577888","19.0","64.0","253.0","65.0"
"zookeeper","9","Best_First_BidirectionalOver_Sampling","Random Forest","0.00630772696553302","0.2153846153846154","0.16666666666666666","0.578883130539282","14.0","51.0","266.0","70.0"
