"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","19","Best_First_Bidirectional+Sensitive_Classifier_Threshold_CFP_1_CFN_10","Naive Bayes","0.3744569061331715","0.8518518518518519","0.38333333333333336","0.6696886446886446","46.0","8.0","174.0","74.0"
"zookeeper","19","Best_First_Bidirectional+Sensitive_Classifier_Threshold_CFP_1_CFN_10","IBK","0.21302433841016052","0.660377358490566","0.2916666666666667","0.5963827838827839","35.0","18.0","164.0","85.0"
"zookeeper","19","Best_First_Bidirectional+Sensitive_Classifier_Threshold_CFP_1_CFN_10","Random Forest","0.38526749365391066","0.6966292134831461","0.5166666666666667","0.6841575091575092","62.0","27.0","155.0","58.0"
