"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","2","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Random Forest","0.40484675694939404","0.8181818181818182","0.5294117647058824","0.7037302725968436","45.0","10.0","72.0","40.0"
"zookeeper","2","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Naive Bayes","0.33570109390538433","0.8717948717948718","0.4","0.7823529411764706","34.0","5.0","77.0","51.0"
"zookeeper","2","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","IBK","0.12701328058773662","0.9230769230769231","0.1411764705882353","0.6946197991391678","12.0","1.0","81.0","73.0"
"zookeeper","2","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Random Forest","0.21907326059231966","0.8518518518518519","0.27058823529411763","0.7230272596843615","23.0","4.0","78.0","62.0"
"zookeeper","2","None","Naive Bayes","0.24338099957525128","0.9565217391304348","0.25882352941176473","0.7170731707317073","22.0","1.0","81.0","63.0"
"zookeeper","2","None","IBK","0.11540363019987285","0.9166666666666666","0.12941176470588237","0.6063845050215209","11.0","1.0","81.0","74.0"
"zookeeper","2","None","Random Forest","0.10341904492794574","0.8461538461538461","0.12941176470588237","0.7874461979913917","11.0","2.0","80.0","74.0"
"zookeeper","3","Best_First_Bidirectional","Naive Bayes","0.17350113122171953","0.9411764705882353","0.18823529411764706","0.7466284074605452","16.0","1.0","81.0","69.0"
"zookeeper","3","Best_First_Bidirectional","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.6936154949784792","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_Bidirectional","Random Forest","0.011555806087936842","1.0","0.011764705882352941","0.8129124820659971","1.0","0.0","82.0","84.0"
"zookeeper","3","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.2879476975554293","0.8048780487804879","0.38823529411764707","0.7538020086083214","33.0","8.0","74.0","52.0"
"zookeeper","3","Best_First_BidirectionalUnder_Sampling","IBK","0.2740682676548137","0.7222222222222222","0.4588235294117647","0.6433285509325681","39.0","15.0","67.0","46.0"
"zookeeper","3","Best_First_BidirectionalUnder_Sampling","Random Forest","0.31021222048141295","0.7647058823529411","0.4588235294117647","0.7743185078909612","39.0","12.0","70.0","46.0"
"zookeeper","3","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.26640215388975474","0.9259259259259259","0.29411764705882354","0.7497847919655667","25.0","2.0","80.0","60.0"
"zookeeper","3","Best_First_BidirectionalOver_Sampling","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.5780487804878048","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_BidirectionalOver_Sampling","Random Forest","0.03468208092485553","1.0","0.03529411764705882","0.7227403156384505","3.0","0.0","82.0","82.0"
"zookeeper","3","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Naive Bayes","0.26640215388975474","0.9259259259259259","0.29411764705882354","0.6348637015781923","25.0","2.0","80.0","60.0"
"zookeeper","3","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.5583931133428981","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Random Forest","0.4181184668989548","0.9090909090909091","0.47058823529411764","0.7109038737446198","40.0","4.0","78.0","45.0"
"zookeeper","3","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Naive Bayes","0.26640215388975474","0.9259259259259259","0.29411764705882354","0.6348637015781923","25.0","2.0","80.0","60.0"
"zookeeper","3","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.5583931133428981","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Random Forest","0.4181184668989548","0.9090909090909091","0.47058823529411764","0.7109038737446198","40.0","4.0","78.0","45.0"
"zookeeper","3","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Naive Bayes","0.26640215388975474","0.9259259259259259","0.29411764705882354","0.7466284074605452","25.0","2.0","80.0","60.0"
"zookeeper","3","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.6936154949784792","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Random Forest","0.05742909552702129","0.8571428571428571","0.07058823529411765","0.8253228120516499","6.0","1.0","81.0","79.0"
"zookeeper","3","None","Naive Bayes","0.22006793093688085","0.9523809523809523","0.23529411764705882","0.7543041606886657","20.0","1.0","81.0","65.0"
"zookeeper","3","None","IBK","0.1731503748762202","0.8947368421052632","0.2","0.7028694404591105","17.0","2.0","80.0","68.0"
"zookeeper","3","None","Random Forest","-4.2286278102757034E-4","0.5","0.011764705882352941","0.8303443328550932","1.0","1.0","81.0","84.0"
"zookeeper","4","Best_First_Bidirectional","Naive Bayes","0.31823647294589175","0.868421052631579","0.3626373626373626","0.7641287284144427","33.0","5.0","93.0","58.0"
"zookeeper","4","Best_First_Bidirectional","IBK","0.1633802816901407","0.75","0.23076923076923078","0.5990692980488899","21.0","7.0","91.0","70.0"
"zookeeper","4","Best_First_Bidirectional","Random Forest","0.1831383622428398","0.8636363636363636","0.2087912087912088","0.740244449428123","19.0","3.0","95.0","72.0"
"zookeeper","4","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.36457917830075787","0.82","0.45054945054945056","0.7654743215967705","41.0","9.0","89.0","50.0"
"zookeeper","4","Best_First_BidirectionalUnder_Sampling","IBK","0.30659818253654675","0.6756756756756757","0.5494505494505495","0.6398295581969051","50.0","24.0","74.0","41.0"
"zookeeper","4","Best_First_BidirectionalUnder_Sampling","Random Forest","0.36119873817034703","0.6962025316455697","0.6043956043956044","0.7265642520744562","55.0","24.0","74.0","36.0"
"zookeeper","4","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.3425149700598801","0.8125","0.42857142857142855","0.7664274501009195","39.0","9.0","89.0","52.0"
