"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","13","Best_First_Bidirectional","Naive Bayes","0.2735849056603774","0.8928571428571429","0.25252525252525254","0.7677379859198041","25.0","3.0","162.0","74.0"
"zookeeper","13","Best_First_Bidirectional","IBK","0.022443890274314267","0.6","0.030303030303030304","0.6851545760636669","3.0","2.0","163.0","96.0"
"zookeeper","13","Best_First_Bidirectional","Random Forest","0.029999999999999975","0.75","0.030303030303030304","0.6983777165595347","3.0","1.0","164.0","96.0"
"zookeeper","13","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.306791569086651","0.9032258064516129","0.2828282828282828","0.7670951943679216","28.0","3.0","162.0","71.0"
"zookeeper","13","Best_First_BidirectionalUnder_Sampling","IBK","0.18721461187214608","0.6190476190476191","0.26262626262626265","0.6412610958065503","26.0","16.0","149.0","73.0"
"zookeeper","13","Best_First_BidirectionalUnder_Sampling","Random Forest","0.16513761467889895","0.6","0.24242424242424243","0.6840832568105295","24.0","16.0","149.0","75.0"
"zookeeper","13","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.3286713286713287","0.9090909090909091","0.30303030303030304","0.7725130088766452","30.0","3.0","162.0","69.0"
"zookeeper","13","Best_First_BidirectionalOver_Sampling","IBK","0.07160493827160494","0.7777777777777778","0.0707070707070707","0.7016835016835017","7.0","2.0","163.0","92.0"
"zookeeper","13","Best_First_BidirectionalOver_Sampling","Random Forest","0.029999999999999975","0.75","0.030303030303030304","0.6539638812366085","3.0","1.0","164.0","96.0"
"zookeeper","13","Best_First_BidirectionalSensitive_Classifier_Threshold_CFP_1_CFN_10","Naive Bayes","0.3503480278422275","0.9142857142857143","0.32323232323232326","0.6525252525252525","32.0","3.0","162.0","67.0"
"zookeeper","13","Best_First_BidirectionalSensitive_Classifier_Threshold_CFP_1_CFN_10","IBK","0.007444168734491236","0.42857142857142855","0.030303030303030304","0.503030303030303","3.0","4.0","161.0","96.0"
"zookeeper","13","Best_First_BidirectionalSensitive_Classifier_Threshold_CFP_1_CFN_10","Random Forest","0.2602739726027399","0.7142857142857143","0.30303030303030304","0.6151515151515151","30.0","12.0","153.0","69.0"
"zookeeper","13","Best_First_BidirectionalSensitive_Learning_CFP_1_CFN_10","Naive Bayes","0.3503480278422275","0.9142857142857143","0.32323232323232326","0.7677379859198041","32.0","3.0","162.0","67.0"
"zookeeper","13","Best_First_BidirectionalSensitive_Learning_CFP_1_CFN_10","IBK","0.007444168734491236","0.42857142857142855","0.030303030303030304","0.6851545760636669","3.0","4.0","161.0","96.0"
"zookeeper","13","Best_First_BidirectionalSensitive_Learning_CFP_1_CFN_10","Random Forest","0.04901960784313721","0.5833333333333334","0.0707070707070707","0.7178145087235996","7.0","5.0","160.0","92.0"
"zookeeper","13","None","Naive Bayes","0.2701421800947869","0.9230769230769231","0.24242424242424243","0.7659014386287114","24.0","2.0","163.0","75.0"
"zookeeper","13","None","IBK","0.0246305418719213","0.5","0.050505050505050504","0.6825834098561371","5.0","5.0","160.0","94.0"
"zookeeper","13","None","Random Forest","0.029999999999999975","0.75","0.030303030303030304","0.689623507805326","3.0","1.0","164.0","96.0"
