"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","17","Sensitive_Classifier_Threshold_CFP_1_CFN_10","Naive Bayes","0.2724243028455863","0.9090909090909091","0.25862068965517243","0.6205384150030248","30.0","3.0","168.0","86.0"
"zookeeper","17","Sensitive_Classifier_Threshold_CFP_1_CFN_10","IBK","0.11259553118254477","0.7777777777777778","0.1206896551724138","0.5486489211534583","14.0","4.0","167.0","102.0"
"zookeeper","17","Sensitive_Classifier_Threshold_CFP_1_CFN_10","Random Forest","0.2467191601049867","0.875","0.2413793103448276","0.6089937487396653","28.0","4.0","167.0","88.0"
