"PROJECT","#TRAIN_RELEASES","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","3","Best_First_Bidirectional","None","None","Naive Bayes","0.17350113122171953","0.9411764705882353","0.18823529411764706","0.7466284074605452","16.0","1.0","81.0","69.0"
"zookeeper","3","Best_First_Bidirectional","None","None","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.6936154949784792","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_Bidirectional","None","None","Random Forest","0.011555806087936842","1.0","0.011764705882352941","0.8129124820659971","1.0","0.0","82.0","84.0"
"zookeeper","3","Best_First_Bidirectional","Under_Sampling","None","Naive Bayes","0.2879476975554293","0.8048780487804879","0.38823529411764707","0.7538020086083214","33.0","8.0","74.0","52.0"
"zookeeper","3","Best_First_Bidirectional","Under_Sampling","None","IBK","0.2740682676548137","0.7222222222222222","0.4588235294117647","0.6433285509325681","39.0","15.0","67.0","46.0"
"zookeeper","3","Best_First_Bidirectional","Under_Sampling","None","Random Forest","0.31021222048141295","0.7647058823529411","0.4588235294117647","0.7743185078909612","39.0","12.0","70.0","46.0"
"zookeeper","3","Best_First_Bidirectional","Over_Sampling","None","Naive Bayes","0.26640215388975474","0.9259259259259259","0.29411764705882354","0.7497847919655667","25.0","2.0","80.0","60.0"
"zookeeper","3","Best_First_Bidirectional","Over_Sampling","None","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.5780487804878048","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_Bidirectional","Over_Sampling","None","Random Forest","0.03468208092485553","1.0","0.03529411764705882","0.7227403156384505","3.0","0.0","82.0","82.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Naive Bayes","0.23172199023285445","0.9545454545454546","0.24705882352941178","0.6174318507890961","21.0","1.0","81.0","64.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.5583931133428981","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Random Forest","0.20774622955462704","0.875","0.24705882352941178","0.6052367288378766","21.0","3.0","79.0","64.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_3","Naive Bayes","0.20841881853554992","0.95","0.2235294117647059","0.6056671449067432","19.0","1.0","81.0","66.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_3","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.5583931133428981","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_3","Random Forest","0.1731503748762202","0.8947368421052632","0.2","0.5878048780487805","17.0","2.0","80.0","68.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Learning_FN_Cost_18.7","Naive Bayes","0.2897646725262264","0.9310344827586207","0.3176470588235294","0.7466284074605452","27.0","2.0","80.0","58.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Learning_FN_Cost_18.7","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.6936154949784792","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Learning_FN_Cost_18.7","Random Forest","0.1502473498233217","0.9333333333333333","0.16470588235294117","0.7903156384505021","14.0","1.0","81.0","71.0"
"zookeeper","3","None","None","None","Naive Bayes","0.22006793093688085","0.9523809523809523","0.23529411764705882","0.7543041606886657","20.0","1.0","81.0","65.0"
"zookeeper","3","None","None","None","IBK","0.1731503748762202","0.8947368421052632","0.2","0.7028694404591105","17.0","2.0","80.0","68.0"
"zookeeper","3","None","None","None","Random Forest","-4.2286278102757034E-4","0.5","0.011764705882352941","0.8303443328550932","1.0","1.0","81.0","84.0"
"zookeeper","3","Best_First_Bidirectional","None","None","Naive Bayes","0.17350113122171953","0.9411764705882353","0.18823529411764706","0.7466284074605452","16.0","1.0","81.0","69.0"
"zookeeper","3","Best_First_Bidirectional","None","None","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.6936154949784792","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_Bidirectional","None","None","Random Forest","0.011555806087936842","1.0","0.011764705882352941","0.8129124820659971","1.0","0.0","82.0","84.0"
"zookeeper","3","Best_First_Bidirectional","Under_Sampling","None","Naive Bayes","0.2879476975554293","0.8048780487804879","0.38823529411764707","0.7538020086083214","33.0","8.0","74.0","52.0"
"zookeeper","3","Best_First_Bidirectional","Under_Sampling","None","IBK","0.2740682676548137","0.7222222222222222","0.4588235294117647","0.6433285509325681","39.0","15.0","67.0","46.0"
"zookeeper","3","Best_First_Bidirectional","Under_Sampling","None","Random Forest","0.31021222048141295","0.7647058823529411","0.4588235294117647","0.7743185078909612","39.0","12.0","70.0","46.0"
"zookeeper","3","Best_First_Bidirectional","Over_Sampling","None","Naive Bayes","0.26640215388975474","0.9259259259259259","0.29411764705882354","0.7497847919655667","25.0","2.0","80.0","60.0"
"zookeeper","3","Best_First_Bidirectional","Over_Sampling","None","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.5780487804878048","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_Bidirectional","Over_Sampling","None","Random Forest","0.03468208092485553","1.0","0.03529411764705882","0.7227403156384505","3.0","0.0","82.0","82.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Naive Bayes","0.23172199023285445","0.9545454545454546","0.24705882352941178","0.6174318507890961","21.0","1.0","81.0","64.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.5583931133428981","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Random Forest","0.20774622955462704","0.875","0.24705882352941178","0.6052367288378766","21.0","3.0","79.0","64.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_3","Naive Bayes","0.20841881853554992","0.95","0.2235294117647059","0.6056671449067432","19.0","1.0","81.0","66.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_3","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.5583931133428981","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_3","Random Forest","0.1731503748762202","0.8947368421052632","0.2","0.5878048780487805","17.0","2.0","80.0","68.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Learning_FN_Cost_18.7","Naive Bayes","0.2897646725262264","0.9310344827586207","0.3176470588235294","0.7466284074605452","27.0","2.0","80.0","58.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Learning_FN_Cost_18.7","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.6936154949784792","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_Bidirectional","None","Sensitive_Learning_FN_Cost_18.7","Random Forest","0.1502473498233217","0.9333333333333333","0.16470588235294117","0.7903156384505021","14.0","1.0","81.0","71.0"
"zookeeper","3","None","None","None","Naive Bayes","0.22006793093688085","0.9523809523809523","0.23529411764705882","0.7543041606886657","20.0","1.0","81.0","65.0"
"zookeeper","3","None","None","None","IBK","0.1731503748762202","0.8947368421052632","0.2","0.7028694404591105","17.0","2.0","80.0","68.0"
"zookeeper","3","None","None","None","Random Forest","-4.2286278102757034E-4","0.5","0.011764705882352941","0.8303443328550932","1.0","1.0","81.0","84.0"
