"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","16","Under_Sampling","Naive Bayes","0.2701843610934519","0.90625","0.2543859649122807","0.6902697495183044","29.0","3.0","170.0","85.0"
"zookeeper","16","Under_Sampling","IBK","0.2602477758376986","0.6842105263157895","0.34210526315789475","0.6658553899198865","39.0","18.0","155.0","75.0"
"zookeeper","16","Under_Sampling","Random Forest","0.23685168080163466","0.6862745098039216","0.30701754385964913","0.6885457864313964","35.0","16.0","157.0","79.0"
