@relation dataset-2-testing
@attribute Release numeric
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
2,0,53,0,8,0,9,0,19,0,0,1
2,0,198,0,15,0,18,0,37,0,2,1
2,0,412,0,72,0,72,0,17,0,0,0
2,0,54,0,27,0,28,0,4,0,4,1
2,1,130,11,12,16,49,2,37,6,12,1
2,0,90,0,15,0,16,0,17,0,0,0
2,0,136,0,24,0,24,0,17,0,0,0
2,0,108,0,16,0,18,0,19,0,2,1
2,0,103,0,104,0,104,0,2,0,2,1
2,0,163,0,163,0,163,0,2,0,0,0
2,0,30,0,30,0,30,0,2,0,0,0
2,0,291,0,291,0,291,0,2,0,0,0
2,0,275,0,91,0,101,0,6,0,8,1
2,0,251,0,39,0,39,0,19,0,2,1
2,0,108,0,9,0,19,0,24,0,0,1
2,0,71,0,5,0,10,0,26,0,0,1
2,0,63,0,5,0,8,0,22,0,6,1
2,0,73,0,36,0,37,0,4,0,0,1
2,0,97,0,10,0,14,0,23,0,4,1
2,0,102,0,9,0,11,0,29,0,0,0
2,0,226,0,39,0,40,0,17,0,0,0
2,0,227,0,35,0,36,0,19,0,0,0
2,0,33,0,4,0,5,0,14,0,0,0
2,0,101,0,11,0,12,0,26,0,2,1
2,1,936,5,34,6,89,4,77,8,32,1
2,0,209,0,35,0,37,0,12,0,8,1
2,0,55,0,8,0,9,0,14,0,0,0
2,0,69,0,9,0,11,0,14,0,0,0
2,1,555,6,27,8,155,2,64,2,14,1
2,0,106,0,13,0,14,0,16,0,2,1
2,1,78,6,26,8,28,2,6,4,8,1
2,0,67,0,9,0,10,0,14,0,0,0
2,0,83,0,8,0,17,0,20,0,2,0
