@relation dataset-11-testing
@attribute Release numeric
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
11,0,70,0,-3,0,9,0,1,0,0,0
11,0,88,0,-1,0,5,0,2,0,3,0
11,0,342,0,12,0,22,0,3,0,2,0
11,4,414,7,13,11,18,5,29,6,32,0
11,0,132,0,33,0,33,0,4,0,4,0
11,1,115,115,115,115,115,1,1,1,1,0
11,1,38,38,38,38,38,1,1,1,1,0
11,4,920,5,28,9,36,8,32,10,30,0
11,0,248,0,22,0,28,0,11,0,17,0
11,4,51,1,2,2,32,4,21,5,24,0
11,4,149,-3,5,5,35,5,30,6,43,0
11,1,247,1,24,4,27,1,10,2,9,0
11,4,183,2,7,7,13,4,25,2,16,0
11,0,88,0,7,0,9,0,12,0,7,0
11,4,59,-15,3,3,17,4,17,2,16,0
11,4,94,3,10,5,15,5,9,4,10,0
11,1,48,1,12,3,13,1,4,1,7,0
11,3,348,-11,23,30,34,3,15,2,13,0
11,1,171,171,171,171,171,1,1,1,1,0
11,2,69,-2,7,6,15,3,9,5,5,0
11,0,202,0,28,0,36,0,7,0,4,0
11,0,134,0,22,0,26,0,6,0,2,0
11,2,416,7,34,9,44,3,12,5,13,0
11,6,1469,17,21,23,39,13,67,16,79,0
11,4,206,2,29,7,33,6,7,10,11,0
11,0,37,0,37,0,37,0,1,0,1,0
11,1,157,0,26,1,28,1,6,1,1,0
11,2,225,1,22,5,27,3,10,4,7,0
11,0,194,0,27,0,43,0,7,0,9,0
11,3,243,3,22,5,30,3,11,4,10,0
11,4,570,19,16,24,24,4,33,7,35,0
11,1,193,4,9,11,15,1,21,2,20,0
11,1,134,0,22,1,24,1,6,1,1,0
11,2,179,4,9,5,16,2,20,2,21,0
11,4,146,3,15,6,18,5,8,6,13,0
11,0,32,0,0,0,0,0,0,0,0,0
11,0,108,0,27,0,27,0,4,0,4,0
11,1,253,253,253,253,253,1,1,2,2,0
11,1,90,90,90,90,90,1,1,2,2,0
11,0,28,0,28,0,28,0,1,0,1,0
