@relation dataset-19-testing
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
0,194,0,16,0,19,0,24,0,12,1
0,93,0,46,0,47,0,4,0,4,0
0,198,0,99,0,100,0,4,0,4,0
0,149,0,74,0,75,0,4,0,4,0
0,144,0,71,0,72,0,4,0,4,0
0,767,0,76,0,77,0,20,0,18,1
1,360,1,36,2,38,2,20,4,8,1
0,1042,0,19,0,66,0,145,0,144,1
0,279,0,34,0,39,0,16,0,4,1
0,34,0,34,0,34,0,2,0,2,0
0,169,0,169,0,169,0,2,0,2,0
0,128,0,64,0,67,0,4,0,6,1
0,168,0,168,0,168,0,2,0,2,0
0,34,0,34,0,34,0,2,0,2,0
0,28,0,28,0,28,0,2,0,2,0
0,25,0,26,0,26,0,2,0,2,0
0,78,0,39,0,40,0,4,0,4,1
0,121,0,15,0,19,0,16,0,22,1
0,41,0,41,0,41,0,2,0,2,1
0,34,0,34,0,34,0,2,0,2,0
0,115,0,23,0,24,0,10,0,14,1
0,104,0,20,0,23,0,10,0,10,1
0,299,0,100,0,100,0,6,0,6,1
0,167,0,83,0,87,0,4,0,4,0
0,30,0,30,0,30,0,2,0,2,0
0,43,0,5,0,6,0,23,0,6,0
0,108,0,36,0,48,0,6,0,4,0
0,256,0,51,0,52,0,10,0,12,1
0,93,0,31,0,48,0,6,0,2,1
0,665,0,12,0,29,0,140,0,110,1
0,84,0,4,0,7,0,54,0,30,0
0,174,0,87,0,88,0,4,0,4,0
0,70,0,5,0,15,0,28,0,8,1
0,117,0,9,0,25,0,33,0,14,1
0,40,0,5,0,6,0,16,0,2,0
0,796,0,15,0,44,0,102,0,98,1
0,337,0,56,0,67,0,12,0,18,1
0,138,0,34,0,38,0,8,0,8,0
0,31,0,3,0,4,0,16,0,2,0
0,1209,0,19,0,56,0,151,0,130,1
1,460,0,11,1,35,2,84,6,72,1
0,148,0,6,0,12,0,44,0,56,1
0,62,0,5,0,9,0,24,0,4,0
0,38,0,9,0,10,0,8,0,8,0
0,53,0,10,0,12,0,10,0,10,1
0,62,0,62,0,62,0,2,0,2,0
0,296,0,148,0,149,0,4,0,4,1
0,35,0,35,0,35,0,2,0,2,0
0,117,0,39,0,40,0,6,0,8,1
0,130,0,43,0,45,0,6,0,6,1
0,29,0,4,0,4,0,19,0,2,0
0,84,0,12,0,13,0,21,0,6,0
0,84,0,13,0,15,0,21,0,6,0
0,41,0,5,0,6,0,16,0,2,1
0,30,0,3,0,4,0,16,0,2,1
0,231,0,11,0,14,0,52,0,30,1
0,40,0,5,0,6,0,21,0,4,0
0,96,0,96,0,96,0,2,0,2,1
0,136,0,45,0,60,0,6,0,6,0
0,50,0,25,0,26,0,4,0,6,0
0,63,0,63,0,63,0,2,0,0,1
0,137,0,45,0,76,0,6,0,0,1
0,72,0,4,0,7,0,42,0,20,0
0,127,0,18,0,23,0,14,0,14,1
0,250,0,23,0,58,0,31,0,6,0
0,35,0,4,0,5,0,16,0,2,0
0,407,0,17,0,23,0,49,0,36,0
0,189,0,27,0,29,0,14,0,4,1
0,101,0,5,0,13,0,38,0,22,1
0,30,0,3,0,4,0,16,0,2,0
0,126,0,7,0,19,0,36,0,12,0
0,122,0,61,0,62,0,4,0,4,0
0,73,0,7,0,8,0,27,0,10,0
0,252,0,10,0,14,0,65,0,34,1
0,74,0,74,0,74,0,2,0,2,1
0,68,0,68,0,68,0,2,0,2,1
0,180,0,180,0,180,0,2,0,2,1
0,429,0,214,0,214,0,4,0,4,1
0,60,0,15,0,15,0,8,0,8,0
0,112,0,112,0,112,0,2,0,2,1
