@relation dataset-3-testing
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
1,96,1,24,4,36,1,4,1,1,0
2,57,22,18,23,18,5,12,3,9,0
1,562,281,281,281,281,2,2,0,0,0
1,141,141,141,141,141,1,1,0,0,0
1,340,113,113,121,121,3,3,5,5,0
2,719,16,39,28,48,10,18,5,12,1
1,184,3,30,4,32,1,6,0,3,1
3,271,2,21,26,34,7,13,2,14,1
1,345,173,173,173,173,2,2,2,2,1
1,68,16,23,20,25,2,3,0,0,0
0,33,0,33,0,33,0,1,0,2,0
0,126,0,18,0,35,0,7,0,3,0
1,453,113,113,130,130,4,4,3,3,1
2,293,49,49,62,62,6,6,3,3,1
2,246,41,41,44,44,6,6,3,3,0
0,61,0,20,0,25,0,3,0,0,0
0,194,0,64,0,68,0,3,0,2,0
1,125,2,25,4,26,1,5,1,2,1
1,128,0,18,2,20,2,7,1,2,1
1,172,1,34,5,36,1,5,1,2,0
0,42,0,21,0,21,0,2,0,0,0
0,244,0,122,0,128,0,2,0,1,1
1,413,6,68,13,82,1,6,0,4,1
1,294,10,29,10,30,4,10,1,4,1
0,25,0,25,0,25,0,1,0,0,0
1,81,1,27,3,28,1,3,2,2,0
1,224,11,112,12,112,1,2,1,1,0
3,1118,25,21,34,42,17,52,20,63,1
0,46,0,23,0,24,0,2,0,1,0
1,96,1,16,2,22,1,6,1,3,0
1,248,21,19,28,22,2,13,6,16,1
1,139,4,20,5,24,1,7,0,4,1
2,123,41,41,43,43,3,3,2,2,0
0,28,0,14,0,15,0,2,0,1,0
1,159,4,17,4,18,1,9,0,6,0
3,562,10,18,13,23,10,31,11,35,0
1,82,1,41,3,42,1,2,1,1,0
0,53,0,53,0,53,0,1,0,0,1
3,836,167,167,170,170,5,5,3,3,0
2,283,29,25,37,29,3,11,2,7,1
3,584,5,22,11,45,10,26,9,25,1
3,701,-2,30,22,52,13,23,6,17,1
1,84,1,16,2,23,1,5,1,1,1
1,41,20,20,21,21,2,2,2,2,0
1,119,0,24,1,25,1,5,0,1,0
3,1136,29,67,56,94,11,17,12,16,1
0,83,0,10,0,93,0,8,0,2,0
0,162,0,32,0,35,0,5,0,1,0
1,35,-7,17,2,21,1,2,0,0,0
0,67,0,33,0,34,0,2,0,0,0
2,91,3,18,9,21,2,5,2,2,0
0,43,0,21,0,23,0,2,0,0,0
0,165,0,41,0,46,0,4,0,1,0
1,25,25,25,25,25,1,1,2,2,0
0,27,0,13,0,14,0,2,0,0,0
1,81,5,27,5,27,1,3,3,4,0
1,119,8,40,9,41,1,3,0,0,0
1,165,83,83,83,83,2,2,2,2,0
0,38,0,38,0,38,0,1,0,0,0
1,65,13,16,22,20,1,4,0,0,0
1,154,7,25,13,28,6,17,2,13,1
1,22,22,22,22,22,1,1,0,0,0
1,95,95,95,95,95,1,1,0,0,0
1,76,76,76,76,76,1,1,0,0,0
0,45,0,45,0,45,0,1,0,0,0
0,65,0,22,0,22,0,3,0,0,0
2,234,19,46,30,55,3,5,2,5,1
0,50,0,12,0,14,0,4,0,1,0
2,3680,525,525,529,529,7,7,1,1,0
1,83,83,83,83,83,1,1,0,0,0
0,25,0,25,0,25,0,1,0,0,0
0,26,0,26,0,26,0,1,0,0,0
1,83,10,9,12,10,5,9,3,6,0
1,172,7,17,7,20,1,10,0,4,0
2,152,76,76,77,77,2,2,3,3,0
1,81,11,11,17,15,2,7,0,2,0
0,45,0,45,0,45,0,1,0,0,0
1,70,70,70,70,70,1,1,2,2,0
3,496,11,17,18,36,6,28,6,31,1
0,36,0,36,0,36,0,1,0,3,0
0,20,0,20,0,20,0,1,0,0,0
1,150,75,75,75,75,2,2,1,1,1
0,91,0,30,0,45,0,3,0,0,1
3,797,20,40,31,49,14,20,17,20,1
1,325,32,25,33,31,3,13,5,15,1
2,350,4,58,8,63,2,6,3,9,1
0,89,0,44,0,45,0,2,0,0,0
1,63,31,31,32,32,2,2,0,0,0
3,138,-4,17,9,29,5,8,3,9,1
2,83,21,21,22,22,4,4,0,0,0
1,46,46,46,46,46,1,1,0,0,0
3,520,8,37,16,43,7,14,8,19,0
0,29,0,29,0,29,0,1,0,1,0
0,60,0,30,0,34,0,2,0,3,1
0,34,0,17,0,18,0,2,0,0,0
0,598,0,299,0,300,0,2,0,3,1
1,49,49,49,49,49,1,1,0,0,0
1,256,128,128,128,128,2,2,0,0,1
1,334,334,334,334,334,1,1,0,0,0
1,144,144,144,144,144,1,1,0,0,0
2,495,22,54,50,74,6,9,4,8,1
0,149,0,25,0,29,0,6,0,1,0
0,65,0,97,0,100,0,4,0,0,0
2,113,-24,-20,10,10,9,11,2,4,0
1,394,11,131,11,132,1,3,1,2,0
2,930,-1,103,20,121,7,9,5,6,1
0,44,0,22,0,23,0,2,0,0,0
1,67,12,22,18,24,1,3,2,2,0
0,78,0,19,0,21,0,4,0,1,0
0,34,0,34,0,34,0,1,0,0,0
0,25,0,25,0,25,0,1,0,0,0
0,44,0,44,0,44,0,1,0,0,0
1,160,2,20,3,22,2,8,1,4,0
2,136,-14,11,18,28,6,12,2,4,0
0,129,0,65,0,65,0,2,0,1,0
2,379,-27,22,27,55,9,17,2,9,1
3,420,-8,42,23,60,5,10,3,15,1
2,84,21,21,22,22,4,4,0,0,0
1,146,146,146,146,146,1,1,0,0,0
1,117,58,58,59,59,2,2,1,1,1
1,98,98,98,98,98,1,1,0,0,1
1,70,70,70,70,70,1,1,0,0,0
1,85,85,85,85,85,1,1,0,0,1
1,304,304,304,304,304,1,1,0,0,0
2,113,8,16,11,19,5,7,2,2,0
2,180,17,20,19,22,6,9,2,4,0
2,170,0,14,4,19,8,12,9,14,1
0,34,0,34,0,34,0,1,0,0,0
1,80,30,40,30,40,1,2,0,1,1
1,91,8,45,10,46,1,2,1,1,1
3,524,0,58,4,62,6,9,7,10,0
1,143,0,35,2,37,1,4,3,7,1
1,45,4,2,4,40,1,17,3,19,0
0,25,0,12,0,36,0,2,0,2,0
2,836,14,52,21,59,9,16,9,23,1
0,54,0,54,0,54,0,1,0,0,0
1,246,61,61,64,64,4,4,1,1,1
2,124,-3,8,4,15,4,15,1,9,0
2,72,-1,9,4,12,3,8,2,3,0
1,56,0,4,2,18,1,12,3,14,0
1,79,-1,26,4,37,1,3,3,6,0
1,47,0,15,1,17,1,3,3,6,0
2,242,80,80,81,81,3,3,4,4,1
1,74,-2,14,0,23,1,5,0,0,0
0,147,0,24,0,26,0,6,0,3,0
2,133,26,26,30,30,5,5,2,2,0
1,380,95,95,116,116,4,4,4,4,1
3,881,5,25,24,53,12,34,15,35,1
0,157,0,39,0,41,0,4,0,0,0
3,220,6,31,14,37,5,7,1,3,0
2,173,20,43,57,62,2,4,0,3,1
2,225,34,37,52,50,4,6,0,2,1
3,421,15,19,27,26,9,22,5,15,1
2,171,5,12,17,19,3,14,2,10,1
0,134,0,33,0,36,0,4,0,0,0
2,138,0,9,1,15,2,15,1,14,1
1,99,17,49,18,50,1,2,3,5,0
1,99,33,33,33,33,3,3,2,2,0
3,234,1,18,4,34,3,13,1,8,1
2,441,2,55,3,57,3,8,0,2,1
0,76,0,12,0,15,0,6,0,2,1
0,49,0,12,0,13,0,4,0,1,0
0,56,0,56,0,56,0,1,0,0,0
1,67,67,67,67,67,1,1,0,0,0
0,133,0,66,0,66,0,2,0,0,0
1,44,9,11,14,13,1,4,1,1,1
2,106,6,15,22,23,3,7,1,1,0
1,51,-2,17,9,21,1,3,0,0,0
1,45,45,45,45,45,1,1,0,0,0
1,111,111,111,111,111,1,1,2,2,0
0,44,0,14,0,17,0,3,0,0,0
0,138,0,69,0,70,0,2,0,0,0
1,192,48,48,54,54,4,4,2,2,0
1,72,72,72,72,72,1,1,0,0,0
1,23,23,23,23,23,1,1,0,0,0
1,76,76,76,76,76,1,1,0,0,0
1,31,31,31,31,31,1,1,0,0,0
